% Model,test.mph
% Version,COMSOL
% Date,""
% Dimension,3
% Nodes,****
% Expressions,3
% Description,
% Length unit,m
% x,y,z,mf.Bx (T),mf.By (T),mf.Bz (T)
0.7415882936176831,0.20525104354552226,-0.13194624512197098,0.03308472461870035,-0.034865377122453606,-0.42922293173852766
0.7614869548493488,0.21448113212582312,-0.13864734955732902,0.0331366456328014,-0.025037271928104027,-0.3202633950594835
0.752657037455415,0.20971633240807652,-0.11978358434358496,0.09260506412363508,-0.05150874044093376,-0.3574443694241836
0.19025890080759328,1.129120349072077,-0.1030334142896357,0.0038964484421556422,0.19821595979339787,0.07734747964182132
0.21518821360194906,1.1292381691384938,-0.12840067342221076,-0.022176095522585766,-0.025569003721105092,0.3635036907825833
0.20319654287539396,1.1288209749937903,-0.12844364249664916,-0.019687781406717977,-0.01574091914382945,0.3642919279617753
-0.03558033626407301,1.0618779471715298,-0.3099658148800944,0.23712038013932155,-0.4582852852511651,0.8304372980831826
-0.0229350322996125,1.071290563544277,-0.331256263338302,0.43272537225449526,-0.9560714587715018,0.39793069248157775
-0.021463293301837903,1.0687604269600053,-0.32328650090568345,0.2628427419670948,-0.612303822845873,0.7520948278612862
0.13633469461112221,-0.05668139193345355,-0.181614544670735,0.014629844101451331,0.11292667621754725,0.9336825773968384
0.12830638098234007,-0.06012876367697982,-0.18864319779879832,0.020580953754607174,0.21575773512690613,0.3697071986568625
0.14729034412686204,-0.06610702976209794,-0.2446126884786036,-0.030752435274894463,0.2702446569757635,-0.11787083232224507
0.7908252265847919,0.7266255387170635,0.2528587381051172,0.27107769632083833,0.0552030658450929,0.8696792129101333
0.7919807116929243,0.735154940941142,0.24699508448726112,0.28346319973911,0.06685562582970916,0.4750179753472174
0.7867422017763863,0.7379085905882099,0.2529017081126705,0.258001183168013,0.06912314456964937,0.8558196725393525
