20.0	28.24584
19.5	28.8862
19.0	29.5266
18.5	30.1670
18.0	30.80743
17.5	31.54788
17.0	32.28836
16.5	33.11887
16.0	33.9394
15.5	34.86997
15.0	35.79057
14.5	36.83122
14.0	37.8819
13.5	39.0626
13.0	40.25343
12.5	41.6243
12.0	42.98519
11.5	44.5762
11.0	46.16726
10.5	48.0384
10.0	49.90972
9.5	52.1511
9.0	54.39269
8.5 57.1244
8.0	59.86636
7.5	63.2885
7.0	66.72101
6.5	70.84385
6.0	75.56712
5.5	81.05096
5.0	87.49552
4.5	95.19102
4.0	104.56782
3.75	110.07185
3.5	116.17643
3.25	123.18166
3.0	131.1877
2.75	140.49479
2.5	151.3032
2.25	164.2133
2.0	179.7258
1.8	194.6382
1.7	203.2453
1.6	212.5533
1.5	222.9623
1.4	234.4725
1.3	247.2842
1.2	261.6977
1.1	275.1134
1.0	289.032
0.9	309.9545
0.8	335.1821
0.7	366.517
0.65	385.0381
0.6	406.1625
0.55	430.291
0.5	458.4246
0.45	491.3651
0.4	530.7149
0.375	553.4443
0.35	578.5776
0.325	606.7155
0.3	638.1592
0.275	673.7101
0.25	714.0703
0.225	760.0425
0.2	812.631
0.18	859.82
0.17	885.17
0.16	911.72
0.15	939.29
0.14	967.76
0.13	996.64
0.12	1025.43
0.11	1053.54
0.1	1080.66
